id,name,hex,r,g,b
alice_blue_css,"Alice Blue",#f0f8ff,240,248,255
antique_white_css,"Antique White",#faebd7,250,235,215
aqua_css,"Aqua",#00ffff,0,255,255
aquamarine_css,"Aquamarine",#7fffd4,127,255,212
azure_css,"Azure",#f0ffff,240,255,255
beige_css,"Beige",#f5f5dc,245,245,220
bisque_css,"Bisque",#ffe4c4,255,228,196
black_css,"Black",#000000,0,0,0
blanched_almond_css,"Blanched Almond",#ffebcd,255,235,205
blue_css,"Blue",#0000ff,0,0,255
blue_violet_css,"Blue Violet",#8a2be2,138,43,226
brown_css,"Brown",#a52a2a,165,42,42
burlywood_css,"Burlywood",#deb887,222,184,135
cadet_blue_css,"Cadet Blue",#5f9ea0,95,158,160
chartreuse_css,"Chartreuse",#7fff00,127,255,0
chocolate_css,"Chocolate",#d2691e,210,105,30
coral_css,"Coral",#ff7f50,255,127,80
cornflower_blue_css,"Cornflower Blue",#6495ed,100,149,237
cornsilk_css,"Cornsilk",#fff8dc,255,248,220
crimson_css,"Crimson",#dc143c,220,20,60
cyan_css,"Cyan",#00ffff,0,255,255
dark_blue_css,"Dark Blue",#00008b,0,0,139
dark_cyan_css,"Dark Cyan",#008b8b,0,139,139
dark_goldenrod_css,"Dark Goldenrod",#b8860b,184,134,11
dark_gray_css,"Dark Gray",#a9a9a9,169,169,169
dark_green_css,"Dark Green",#006400,0,100,0
dark_grey_css,"Dark Grey",#a9a9a9,169,169,169
dark_khaki_css,"Dark Khaki",#bdb76b,189,183,107
dark_magenta_css,"Dark Magenta",#8b008b,139,0,139
dark_olive_green_css,"Dark Olive Green",#556b2f,85,107,47
dark_orange_css,"Dark Orange",#ff8c00,255,140,0
dark_orchid_css,"Dark Orchid",#9932cc,153,50,204
dark_red_css,"Dark Red",#8b0000,139,0,0
dark_salmon_css,"Dark Salmon",#e9967a,233,150,122
dark_sea_green_css,"Dark Sea Green",#8fbc8f,143,188,143
dark_slate_blue_css,"Dark Slate Blue",#483d8b,72,61,139
dark_slate_gray_css,"Dark Slate Gray",#2f4f4f,47,79,79
dark_slate_grey_css,"Dark Slate Grey",#2f4f4f,47,79,79
dark_turquoise_css,"Dark Turquoise",#00ced1,0,206,209
dark_violet_css,"Dark Violet",#9400d3,148,0,211
deep_pink_css,"Deep Pink",#ff1493,255,20,147
deep_sky_blue_css,"Deep Sky Blue",#00bfff,0,191,255
dim_gray_css,"Dim Gray",#696969,105,105,105
dim_grey_css,"Dim Grey",#696969,105,105,105
dodger_blue_css,"Dodger Blue",#1e90ff,30,144,255
firebrick_css,"Firebrick",#b22222,178,34,34
floral_white_css,"Floral White",#fffaf0,255,250,240
forest_green_css,"Forest Green",#228b22,34,139,34
fuchsia_css,"Fuchsia",#ff00ff,255,0,255
gainsboro_css,"Gainsboro",#dcdcdc,220,220,220
ghost_white_css,"Ghost White",#f8f8ff,248,248,255
gold_css,"Gold",#ffd700,255,215,0
goldenrod_css,"Goldenrod",#daa520,218,165,32
gray_css,"Gray",#808080,128,128,128
green_css,"Green",#008000,0,128,0
green_yellow_css,"Green Yellow",#adff2f,173,255,47
grey_css,"Grey",#808080,128,128,128
honeydew_css,"Honeydew",#f0fff0,240,255,240
hot_pink_css,"Hot Pink",#ff69b4,255,105,180
indian_red_css,"Indian Red",#cd5c5c,205,92,92
indigo_css,"Indigo",#4b0082,75,0,130
ivory_css,"Ivory",#fffff0,255,255,240
khaki_css,"Khaki",#f0e68c,240,230,140
lavender_blush_css,"Lavender Blush",#fff0f5,255,240,245
lavender_css,"Lavender",#e6e6fa,230,230,250
lawn_green_css,"Lawn Green",#7cfc00,124,252,0
lemon_chiffon_css,"Lemon Chiffon",#fffacd,255,250,205
light_blue_css,"Light Blue",#add8e6,173,216,230
light_coral_css,"Light Coral",#f08080,240,128,128
light_cyan_css,"Light Cyan",#e0ffff,224,255,255
light_goldenrod_yellow_css,"Light Goldenrod Yellow",#fafad2,250,250,210
light_gray_css,"Light Gray",#d3d3d3,211,211,211
light_green_css,"Light Green",#90ee90,144,238,144
light_grey_css,"Light Grey",#d3d3d3,211,211,211
light_pink_css,"Light Pink",#ffb6c1,255,182,193
light_salmon_css,"Light Salmon",#ffa07a,255,160,122
light_sea_green_css,"Light Sea Green",#20b2aa,32,178,170
light_sky_blue_css,"Light Sky Blue",#87cefa,135,206,250
light_slate_gray_css,"Light Slate Gray",#778899,119,136,153
light_slate_grey_css,"Light Slate Grey",#778899,119,136,153
light_steel_blue_css,"Light Steel Blue",#b0c4de,176,196,222
light_yellow_css,"Light Yellow",#ffffe0,255,255,224
lime_css,"Lime",#00ff00,0,255,0
lime_green_css,"Lime Green",#32cd32,50,205,50
linen_css,"Linen",#faf0e6,250,240,230
magenta_css,"Magenta",#ff00ff,255,0,255
maroon_css,"Maroon",#800000,128,0,0
medium_aquamarine_css,"Medium Aquamarine",#66cdaa,102,205,170
medium_blue_css,"Medium Blue",#0000cd,0,0,205
medium_orchid_css,"Medium Orchid",#ba55d3,186,85,211
medium_purple_css,"Medium Purple",#9370db,147,112,219
medium_sea_green_css,"Medium Sea Green",#3cb371,60,179,113
medium_slate_blue_css,"Medium Slate Blue",#7b68ee,123,104,238
medium_spring_green_css,"Medium Spring Green",#00fa9a,0,250,154
medium_turquoise_css,"Medium Turquoise",#48d1cc,72,209,204
medium_violet_red_css,"Medium Violet Red",#c71585,199,21,133
midnight_blue_css,"Midnight Blue",#191970,25,25,112
mint_cream_css,"Mint Cream",#f5fffa,245,255,250
misty_rose_css,"Misty Rose",#ffe4e1,255,228,225
moccasin_css,"Moccasin",#ffe4b5,255,228,181
navajo_white_css,"Navajo White",#ffdead,255,222,173
navy_css,"Navy",#000080,0,0,128
old_lace_css,"Old Lace",#fdf5e6,253,245,230
olive_css,"Olive",#808000,128,128,0
olive_drab_css,"Olive Drab",#6b8e23,107,142,35
orange_css,"Orange",#ffa500,255,165,0
orange_red_css,"Orange Red",#ff4500,255,69,0
orchid_css,"Orchid",#da70d6,218,112,214
pale_goldenrod_css,"Pale Goldenrod",#eee8aa,238,232,170
pale_green_css,"Pale Green",#98fb98,152,251,152
pale_turquoise_css,"Pale Turquoise",#afeeee,175,238,238
pale_violet_red_css,"Pale Violet Red",#db7093,219,112,147
papaya_whip_css,"Papaya Whip",#ffefd5,255,239,213
peach_puff_css,"Peach Puff",#ffdab9,255,218,185
peru_css,"Peru",#cd853f,205,133,63
pink_css,"Pink",#ffc0cb,255,192,203
plum_css,"Plum",#dda0dd,221,160,221
powder_blue_css,"Powder Blue",#b0e0e6,176,224,230
purple_css,"Purple",#800080,128,0,128
rebecca_purple_css,"Rebecca Purple",#663399,102,51,153
red_css,"Red",#ff0000,255,0,0
rosy_brown_css,"Rosy Brown",#bc8f8f,188,143,143
royal_blue_css,"Royal Blue",#4169e1,65,105,225
saddle_brown_css,"Saddle Brown",#8b4513,139,69,19
salmon_css,"Salmon",#fa8072,250,128,114
sandy_brown_css,"Sandy Brown",#f4a460,244,164,96
sea_green_css,"Sea Green",#2e8b57,46,139,87
seashell_css,"Seashell",#fff5ee,255,245,238
sienna_css,"Sienna",#a0522d,160,82,45
silver_css,"Silver",#c0c0c0,192,192,192
sky_blue_css,"Sky Blue",#87ceeb,135,206,235
slate_blue_css,"Slate Blue",#6a5acd,106,90,205
slate_gray_css,"Slate Gray",#708090,112,128,144
slate_grey_css,"Slate Grey",#708090,112,128,144
